n,smc,err
1.000000,337.257385,102.129231
527.263158,1409.433762,21.246741
1053.526316,2527.169307,46.770647
1579.789474,4523.853620,403.963818
2106.052632,6332.268318,1584.129581
2632.315789,6273.272753,666.434976
3158.578947,8383.100271,3368.284261
3684.842105,15208.290021,5295.509914
4211.105263,15229.122400,6230.667550
4737.368421,13870.010694,9312.465117
5263.631579,13362.085660,1748.507965
5789.894737,13645.039876,59.773776
6316.157895,14342.861414,573.771698
6842.421053,21510.968049,9818.020637
7368.684211,24410.834551,2244.974564
7894.947368,31068.881909,17624.134727
8421.210526,20715.230703,3405.677016
8947.473684,19695.848068,372.789678
9473.736842,22016.146024,3290.320104
10000.000000,26927.035968,1484.744633